"Text","Image URL","Tags","Posting Time"
"週末の公園。
子どもが遊具に走っていく。




ベンチに座った二人。
夫はスマホ、私もスマホ。
会話、ゼロ。




昔は週末、二人でカフェ行ったり、
映画見たり、ドライブしたり。
あんなにデートしてたのに。




「子どもができたから」って言い訳してるけど、
本当は、二人の時間を作ろうとしてないだけ。




デートしてた頃の私たち、どこ行った？","","Day6","2025-11-28 07:01"
"カレンダー見たら、
「家族の予定」ばかり。

「二人の予定」、ゼロ。","","Day6","2025-11-28 08:08"
"【問いかけ】
最後に二人でデートしたの、いつですか？

半年以上前の人、手を挙げて。","","Day6","2025-11-28 10:04"
"【小さなデート計画】
来週末、子どもを実家に預けて、
二人でランチ行くことにした。




「デートじゃん」って笑われたけど、
そう、デート。




夫婦だって、恋人みたいにデートしていい。
むしろ、すべき。
関係を育てるために。","","Day6","2025-11-28 12:12"
"「子どもが優先」は正しい。

でも「夫婦の時間ゼロ」は、
間違ってる。","","Day6","2025-11-28 15:15"
"二人の時間、
月に1回でもいい。

作ろうよ。","","Day6","2025-11-28 18:05"
"週末デートの復活計画。

子どもを預けられない人向けに、
「子どもが寝た後の家デート」も提案。




お酒飲んで、映画見る。
それだけでも、特別な時間。




夫婦の時間を作る具体策、
Noteにまとめました。
→ #夜専用レス手前の会話レシピ","","Day6","2025-11-28 20:01"
"昔行ったカフェの写真、見つけた。

笑顔の二人。

また行きたいな、あの場所。","","Day6","2025-11-28 21:05"
"「子育て終わったらね」じゃなくて、
「今から」始めよう。

二人の時間。","","Day6","2025-11-28 22:20"
"週末デート、復活させる。

それが、今週の目標。","","Day6","2025-11-28 23:25"
